division;anio;salario;resto_costes
01;2023;26555.89;167.89
01;2022;25353.22;164.29
01;2021;24248.78;190.41
01;2020;22837.59;197.14
01;2019;23450.25;215.31
01;2018;23003.23;197.49
01;2017;22806.95;226.76
01;2016;22778.02;233.96
01;2015;22850.57;214.83
01;2014;22605.79;220.85
01;2013;22653.55;280.74
01;2012;22635.56;308.28
01;2011;22775.76;307.56
01;2010;22540.83;356.02
01;2009;22329.33;373.16
01;2008;21639.16;343.57
05;2023;37835.33;429.43
05;2022;37250.89;415.25
05;2021;39486.78;417.99
05;2020;38563.63;763.17
05;2019;36777.27;413.33
05;2018;35619.77;647.65
05;2017;36360.36;558.14
05;2016;36296.72;678.12
05;2015;34663.08;367.04
05;2014;35320.37;517.61
05;2013;35228.10;744.43
05;2012;34182.94;783.08
05;2011;30764.51;549.21
05;2010;29430.88;628.46
05;2009;26921.82;511.40
05;2008;26662.08;680.11
10;2023;24403.88;165.18
10;2022;22767.25;149.34
10;2021;21840.41;174.76
10;2020;20842.60;127.06
10;2019;21227.84;177.95
10;2018;20594.09;137.37
10;2017;20420.20;123.43
10;2016;20542.49;141.32
10;2015;20695.00;192.58
10;2014;20585.20;153.72
10;2013;20976.97;213.71
10;2012;20934.98;189.85
10;2011;20322.67;205.09
10;2010;20121.44;351.43
10;2009;19966.73;235.72
10;2008;18790.63;203.92
11;2023;33519.31;79.85
11;2022;33063.21;246.59
11;2021;32307.80;284.50
11;2020;32656.83;277.69
11;2019;32675.55;257.36
11;2018;31526.82;241.17
11;2017;31960.94;130.61
11;2016;30777.26;201.78
11;2015;30327.69;31.81
11;2014;30595.55;166.43
11;2013;29249.09;228.82
11;2012;29511.65;270.07
11;2011;29481.27;473.45
11;2010;29873.13;266.18
11;2009;29262.89;352.17
11;2008;29103.17;310.64
12;2023;57960.11;684.43
12;2022;51737.90;140.80
12;2021;50453.70;322.97
12;2020;47779.51;410.72
12;2019;51549.60;517.64
12;2018;53729.91;816.14
12;2017;51570.08;64.05
12;2016;47478.11;24.22
12;2015;47730.12;34.50
12;2014;45954.24;121.91
12;2013;42059.38;256.76
12;2012;46842.90;29.59
12;2011;42989.32;26.70
12;2010;45563.39;163.39
12;2009;41997.39;173.85
12;2008;54629.36;41.70
13;2023;23174.72;82.21
13;2022;22799.28;141.98
13;2021;21408.07;192.58
13;2020;19298.08;149.63
13;2019;20779.04;172.65
13;2018;20718.06;115.39
13;2017;20285.84;37.95
13;2016;20337.60;60.44
13;2015;19937.79;97.84
13;2014;20321.35;56.76
13;2013;19830.34;167.62
13;2012;20039.13;14.63
13;2011;20371.63;16.80
13;2010;19914.25;42.56
13;2009;19537.80;120.33
13;2008;18977.68;77.42
14;2023;26832.01;91.71
14;2022;25660.92;66.99
14;2021;23914.08;58.77
14;2020;21573.11;89.15
14;2019;23106.61;121.23
14;2018;21727.51;63.86
14;2017;21174.23;42.56
14;2016;20632.98;49.12
14;2015;19273.91;121.57
14;2014;19020.21;110.81
14;2013;19608.93;57.36
14;2012;18414.30;91.52
14;2011;18609.03;87.63
14;2010;18722.48;108.97
14;2009;17532.09;157.19
14;2008;16686.85;70.64
15;2023;19097.36;62.98
15;2022;18049.52;89.51
15;2021;17325.01;108.14
15;2020;16271.13;194.68
15;2019;17993.29;83.44
15;2018;17310.70;157.52
15;2017;16998.80;115.81
15;2016;16370.17;84.63
15;2015;15577.66;90.18
15;2014;15650.39;94.72
15;2013;15573.94;115.66
