nombre;frecuencia
MARIA CARMEN;624368 
ANTONIO;603004 
MARIA;551105 
MANUEL;534398 
JOSE;501731 
FRANCISCO;436217 
DAVID;372358 
CARMEN;340920 
JAVIER;309583 
DANIEL;308465 
JUAN;305208 
JOSE ANTONIO;295837 
FRANCISCO JAVIER;283058 
JOSE LUIS;276378 
CARLOS;274455 
ALEJANDRO;271524 
ANA MARIA;266129 
JESUS;259586 
LAURA;258829 
MARIA PILAR;251964 
MARIA DOLORES;244574 
ISABEL;241094 
ANA;238727 
MARIA TERESA;238554 
JOSE MANUEL;235031 
MIGUEL;232976 
JOSEFA;232517 
MARTA;228684 
MIGUEL ANGEL;228106 
PABLO;226686 
CRISTINA;226421 
LUCIA;220393 
RAFAEL;219901 
MARIA ANGELES;216574 
SERGIO;210573 
ANGEL;205241 
PEDRO;203192 
MARIA JOSE;202907 
MARIA ISABEL;201135 
JORGE;194287 
FERNANDO;193571 
JOSE MARIA;191074 
FRANCISCA;184748 
ANTONIA;179464 
SARA;178323 
PAULA;178273 
ALBERTO;177884 
LUIS;176464 
ALVARO;169649 
DOLORES;164841 
ADRIAN;163499 
ELENA;161600 
JUAN CARLOS;161572 
DIEGO;157116 
JUAN JOSE;149080 
MARIA LUISA;147313 
RAQUEL;147227 
ROSA MARIA;144937 
RAUL;141923 
IVAN;138651 
MANUELA;133883 
MARIA JESUS;132206 
RUBEN;130901 
JULIA;128808 
JUAN ANTONIO;127637 
PILAR;126444 
CONCEPCION;126358 
ALBA;125047 
OSCAR;123661 
MERCEDES;122941 
BEATRIZ;122406 
SILVIA;120474 
ENRIQUE;119903 
NURIA;119237 
IRENE;118150 
PATRICIA;112441 
JUAN MANUEL;111408 
MARIO;111259 
ROCIO;110250 
SANTIAGO;110035 
ANDRES;110014 
ANDREA;109662 
RAMON;108559 
VICTOR;106501 
ROSARIO;105344 
MONTSERRAT;104289 
JUANA;103691 
VICENTE;103681 
MONICA;103407 
TERESA;102338 
JOAQUIN;102251 
EDUARDO;102022 
ENCARNACION;101737 
ALICIA;100967 
HUGO;99356 
MARIA MAR;98887 
MARINA;98816 
MARCOS;98600 
SANDRA;98283 
SONIA;98039 
NATALIA;97520 
ROBERTO;97103 
SOFIA;95898 
JAIME;95220 
SUSANA;95143 
FRANCISCO JOSE;94728 
ANGELA;93344 
YOLANDA;91399 
CLAUDIA;88864 
IGNACIO;88605 
ROSA;88444 
CARLA;85774 
EVA;82817 
MARGARITA;82079 
JORDI;81838 
MARIA JOSEFA;80914 
MOHAMED;80125 
ALFONSO;78497 
RICARDO;77407 
MARTIN;76898 
INMACULADA;76408 
ANA ISABEL;76176 
MARIA MERCEDES;75934 
MARIA ROSARIO;75742 
MARC;75147 
NOELIA;74382 
DANIELA;74069 
SALVADOR;73895 
GABRIEL;73655 
GUILLERMO;73583 
ESTHER;72314 
VERONICA;72242 
GONZALO;71457 
CAROLINA;68976 
MARTINA;68596 
NEREA;68271 
EMILIO;65126 
INES;64521 
JOSE MIGUEL;64358 
NICOLAS;64180 
MIRIAM;63944 
LUCAS;63516 
EVA MARIA;63303 
MARIA VICTORIA;62905 
LORENA;62358 
JULIO;61305 
MARIA ELENA;61050 
ANA BELEN;60579 
JULIAN;60400 
TOMAS;60387 
SAMUEL;60361 
VICTORIA;59694 
MARIA ROSA;58308 
ALEJANDRA;58148 
ANGELES;57777 
AGUSTIN;57097 
ISMAEL;56693 
MARIA CONCEPCION;56687 
CRISTIAN;56081 
JOSE RAMON;55742 
CELIA;53394 
JOAN;53392 
AITOR;53229 
LIDIA;53161 
FATIMA;52984 
MARIA ANTONIA;52961 
HECTOR;52196 
AMPARO;51949 
ALEX;51625 
AINHOA;51535 
MATEO;51350 
OLGA;50730 
CATALINA;50235 
MARIA NIEVES;49892 
FELIX;49709 
IKER;49641 
CLARA;49499 
ADRIANA;48575 
VALERIA;48560 
ANNA;47844 
MARIA CRISTINA;47140 
JUAN FRANCISCO;46264 
EMMA;45757 
MARIA SOLEDAD;45706 
GLORIA;45041 
JOSE CARLOS;44801 
VANESA;44685 
CONSUELO;44506 
BLANCA;43926 
SEBASTIAN;43842 
RODRIGO;43262 
VIRGINIA;43237 
CESAR;42760 
AURORA;42738 
EMILIA;42131 
JOSEP;41104 
JOSE ANGEL;40690 
ESPERANZA;40666 
MARIA LUZ;40568 
ALFREDO;40405 
LAIA;40294 
VICTOR MANUEL;40237 
LUISA;40198 
MARIA BELEN;39695 
LOURDES;39582 
NOA;39439 
MARIANO;39313 
MILAGROS;39243 
JOSE IGNACIO;38708 
ESTEFANIA;38483 
DOMINGO;38106 
ISABEL MARIA;38096 
FELIPE;38071 
JOSEFINA;37737 
VALENTINA;37670 
LUIS MIGUEL;37510 
BEGOÑA;36563 
GEMA;36279 
MARIA BEGOÑA;35575 
PURIFICACION;35494 
AITANA;35143 
ELISA;34976 
PAU;34819 
MOHAMMED;34609 
IZAN;34171 
BELEN;34082 
MARIA LOURDES;34069 
ARIADNA;33978 
XAVIER;33941 
JOSE FRANCISCO;33913 
TAMARA;33837 
ALBERT;33725 
LEO;33552 
MARIA ASUNCION;33400 
JUAN LUIS;33281 
MARIA ESTHER;33155 
AARON;33128 
MARIA PAZ;32569 
CARLOTA;32517 
ERIC;32354 
LARA;31798 
REBECA;31683 
MIREIA;31298 
ARACELI;31090 
PALOMA;30954 
GEMMA;30803 
MAGDALENA;30789 
ANTONIO JOSE;30785 
BORJA;30590 
ALMUDENA;30565 
VANESSA;30456 
BRUNO;30365 
MARIA INMACULADA;30235 
NOEMI;29982 
LORENZO;29692 
DIANA;29552 
LEIRE;29319 
JOEL;29276 
ARTURO;28963 
MARCO;28940 
GREGORIO;28860 
MATILDE;28760 
DARIO;28734 
ISAAC;28647 
ESTEBAN;28639 
MARIA EUGENIA;28582 
ELVIRA;28451 
TANIA;28343 
REMEDIOS;28275 
SOLEDAD;28100 
ASIER;28050 
CRISTOBAL;27715 
ASUNCION;27707 
MARIA CRUZ;27491 
JOSE JAVIER;27402 
MARIA AMPARO;27218 
AINARA;27077 
CANDELA;27033 
TRINIDAD;26876 
ANTONIO JESUS;26701 
JUAN MIGUEL;26570 
NATIVIDAD;26563 
JESSICA;26493 
UNAI;26468 
VICENTA;26338 
FRANCISCO MANUEL;26055 
AHMED;25980 
LOLA;25654 
MARIA ROCIO;25281 
