startDate,endDate,rate,contingency,cnae,contributor
2006-01-01,2025-12-31,23.60,cc,0,E
2006-01-01,2025-12-31,4.70,cc,0,T
2006-01-01,2025-12-31,0.2,fgs,0,E
2006-01-01,2025-12-31,0.6,fp,0,E
2006-01-01,2025-12-31,0.1,fp,0,T
2006-01-01,2025-12-31,23.60,he,0,E
2006-01-01,2025-12-31,4.70,he,0,T
2006-01-01,2025-12-31,12,hef,0,E
2006-01-01,2025-12-31,2,hef,0,T
2006-01-01,2025-12-31,5.5,dei,0,E
2006-01-01,2025-12-31,1.55,dei,0,T
2006-01-01,2025-12-31,6.7,ded,0,E
2006-01-01,2025-12-31,1.6,ded,0,T
2023-01-01,2023-12-31,0.5,mei,0,E
2023-01-01,2023-12-31,0.1,mei,0,T
2024-01-01,2024-12-31,0.58,mei,0,T
2024-01-01,2024-12-31,0.12,mei,0,E
2025-01-01,2025-12-31,0.67,mei,0,E
2025-01-01,2025-12-31,0.13,mei,0,T
2026-01-01,2026-12-31,0.75,mei,0,E
2026-01-01,2026-12-31,0.15,mei,0,T
2027-01-01,2027-12-31,0.83,mei,0,E
2027-01-01,2027-12-31,0.17,mei,0,T
2028-01-01,2028-12-31,0.92,mei,0,E
2028-01-01,2028-12-31,0.18,mei,0,T
2029-01-01,2029-12-31,1,mei,0,E
2029-01-01,2029-12-31,0.2,mei,0,T
2010-01-01,2025-12-31,2.6,at,01,E
2009-01-01,2009-12-31,2.7,at,01,E
2019-01-01,2025-12-31,2,at,0113,E
2010-01-01,2018-12-31,2.25,at,0113,E
2009-01-01,2009-12-31,2.3,at,0113,E
2019-01-01,2025-12-31,2,at,0119,E
2010-01-01,2018-12-31,2.25,at,0119,E
2009-01-01,2009-12-31,2.3,at,0119,E
2010-01-01,2025-12-31,5.15,at,0129,E
2009-01-01,2009-12-31,5.4,at,0129,E
2010-01-01,2025-12-31,2.25,at,0130,E
2009-01-01,2009-12-31,2.3,at,0130,E
2010-01-01,2025-12-31,3.3,at,014,E
2009-01-01,2012-12-31,3.35,at,014,E
2013-01-01,2025-12-31,2.4,at,0147,E
2010-01-01,2012-12-31,2.35,at,0147,E
2009-01-01,2009-12-31,2.4,at,0147,E
2010-01-01,2025-12-31,2.8,at,015,E
2009-01-01,2009-12-31,3.35,at,015,E
2010-01-01,2025-12-31,2.8,at,016,E
2009-01-01,2009-12-31,3.35,at,016,E
2010-01-01,2025-12-31,2.25,at,0164,E
2009-01-01,2009-12-31,2.3,at,0164,E
2010-01-01,2025-12-31,3.3,at,017,E
2009-01-01,2009-12-31,3.35,at,017,E
2010-01-01,2025-12-31,5.15,at,02,E
2009-01-01,2009-12-31,5.4,at,02,E
2010-01-01,2025-12-31,6.4,at,03,E
2009-01-01,2009-12-31,7,at,03,E
2010-01-01,2025-12-31,6.25,at,0322,E
2009-01-01,2009-12-31,6.85,at,0322,E
2010-01-01,2025-12-31,5.2,at,05,E
2009-01-01,2009-12-31,5.6,at,05,E
2010-01-01,2025-12-31,5.2,at,06,E
2009-01-01,2009-12-31,7.45,at,06,E
